model,lambda,epoch,loss,accuracy,kappa
Model1,-100.0,1,1.3537426358593228,43.554538520213576,0.2296660989522934
Model1,-100.0,2,1.3050326460831772,43.47826086956522,0.23329158127307892
Model1,-100.0,3,1.2575823868803173,43.63081617086194,0.24039682745933533
Model1,-100.0,4,1.2333142810155198,50.5720823798627,0.337575227022171
Model1,-100.0,5,1.2207245636677397,52.70785659801678,0.3655499219894409
Model1,-100.0,6,1.210635969786131,53.47063310450038,0.37737512588500977
Model1,-100.0,7,1.1991890356069663,52.63157894736842,0.3656347990036011
Model1,-100.0,8,1.1883755645890166,54.30968726163234,0.38829419016838074
Model1,-100.0,9,1.178801553382117,54.99618611746758,0.3974963128566742
Model1,-100.0,10,1.1692330295306685,54.69107551487414,0.3938605487346649
Model1,-100.0,11,1.1638126626076541,53.47063310450038,0.37830156087875366
Model1,-100.0,12,1.1516236443268626,54.91990846681922,0.3965907394886017
Model1,-100.0,13,1.1439289604771874,54.7673531655225,0.3954964280128479
Model1,-100.0,14,1.1385225502249852,54.53852021357742,0.39248648285865784
Model1,-100.0,15,1.1271447048761933,54.7673531655225,0.3955598771572113
Model1,-100.0,16,1.1208729496627796,55.301296720061025,0.4028718173503876
Model1,-100.0,17,1.1160875717071428,54.843630816170865,0.39746883511543274
Model1,-100.0,18,1.1048262799904602,55.37757437070938,0.40349164605140686
Model1,-100.0,19,1.1019544219988888,55.60640732265446,0.40793076157569885
Model1,-100.0,20,1.0943996561655644,55.301296720061025,0.40252628922462463
Model1,-100.0,21,1.0914567242952633,55.45385202135774,0.4056124985218048
Model1,-100.0,22,1.0814622835654688,55.60640732265446,0.4067361056804657
Model1,-100.0,23,1.0773091816338394,55.9115179252479,0.41086575388908386
Model1,-100.0,24,1.0755561655664334,55.9115179252479,0.41211628913879395
Model1,-100.0,25,1.063601817773736,56.826849733028226,0.4240521192550659
Model1,-100.0,26,1.05935284579464,57.36079328756674,0.4310716986656189
Model1,-100.0,27,1.0590187578506818,57.13196033562166,0.4281383752822876
Model1,-100.0,28,1.0548368435520692,56.598016781083146,0.4211031496524811
Model1,-100.0,29,1.0507406414600842,56.674294431731504,0.42218106985092163
Model1,-100.0,30,1.0474027418890224,57.13196033562166,0.4278292655944824
Model1,-100.0,31,1.0413606805623168,57.13196033562166,0.42816364765167236
Model1,-100.0,32,1.039701957951785,56.52173913043478,0.4201127588748932
Model1,-100.0,33,1.0330653192886043,57.055682684973306,0.42694729566574097
Model1,-100.0,34,1.0338056397565352,56.598016781083146,0.42140087485313416
Model1,-100.0,35,1.0349636963539501,56.90312738367658,0.4248165190219879
Model1,-100.0,36,1.0273428537480074,57.13196033562166,0.4285641610622406
Model1,-100.0,37,1.0266112576996798,56.97940503432494,0.4260043203830719
Model1,-100.0,38,1.0256917225687128,57.513348588863465,0.432722806930542
Model1,-100.0,39,1.0213619308286181,57.4370709382151,0.43219664692878723
Model1,-100.0,40,1.0173768370229719,57.20823798627002,0.4293963611125946
Model1,-100.0,41,1.0174893637270894,57.13196033562166,0.428047776222229
Model1,-100.0,42,1.0176513242321465,58.12356979405034,0.44081178307533264
Model1,-100.0,43,1.0119854718287604,57.89473684210526,0.43815550208091736
Model1,-100.0,44,1.022769502153113,57.13196033562166,0.4284617602825165
Model1,-100.0,45,1.011409040082965,57.513348588863465,0.4337732493877411
Model1,-100.0,46,1.0065276677784893,57.8184591914569,0.4371127486228943
Model1,-100.0,47,1.006740018759494,58.428680396643784,0.44466593861579895
Model1,-100.0,48,1.0107157805509734,58.73379099923722,0.448575884103775
Model1,-100.0,49,1.002831152201972,57.89473684210526,0.4381502866744995
Model1,-100.0,50,1.0052829746705352,57.055682684973306,0.4278215765953064
Model1,0.0,1,1.327919290413118,47.97864225781846,0.2982349395751953
Model1,0.0,2,1.2687935259031213,49.73302822273074,0.3211742639541626
Model1,0.0,3,1.2360790672418636,44.31731502669718,0.2503936290740967
Model1,0.0,4,1.2225677576072338,50.11441647597254,0.33155423402786255
Model1,0.0,5,1.2158817416561367,50.5720823798627,0.3375380337238312
Model1,0.0,6,1.2089335574710942,52.0976353928299,0.3591896593570709
Model1,0.0,7,1.201194894213789,49.96186117467582,0.3305293917655945
Model1,0.0,8,1.1936134897416826,51.63996948893974,0.352923721075058
Model1,0.0,9,1.1872857233479586,54.843630816170865,0.39528441429138184
Model1,0.0,10,1.179229636486935,52.860411899313505,0.36949971318244934
Model1,0.0,11,1.1735047296564785,52.40274599542334,0.3641146123409271
Model1,0.0,12,1.1625092212340924,55.301296720061025,0.4016020596027374
Model1,0.0,13,1.1549561217393154,55.072463768115945,0.3997224271297455
Model1,0.0,14,1.1512938997929192,54.23340961098398,0.38854753971099854
Model1,0.0,15,1.1412505936204342,55.83524027459954,0.40940430760383606
Model1,0.0,16,1.135693034809296,56.445461479786424,0.41770315170288086
Model1,0.0,17,1.132069830854461,54.99618611746758,0.3991125524044037
Model1,0.0,18,1.1220010591317096,55.9115179252479,0.4101806581020355
Model1,0.0,19,1.120573359668755,55.072463768115945,0.4002819061279297
Model1,0.0,20,1.1140446356013929,55.530129672006105,0.4052964448928833
Model1,0.0,21,1.1124186100712448,54.69107551487414,0.3950175642967224
Model1,0.0,22,1.1042562305336232,55.530129672006105,0.4052450954914093
Model1,0.0,23,1.101987205872001,55.301296720061025,0.40241897106170654
Model1,0.0,24,1.1006190890942158,55.68268497330282,0.4084785580635071
Model1,0.0,25,1.091001800596032,56.2929061784897,0.41623032093048096
Model1,0.0,26,1.0881120850347,56.90312738367658,0.42433640360832214
Model1,0.0,27,1.0877553440522456,56.52173913043478,0.4191743731498718
Model1,0.0,28,1.0848683203839782,55.987795575896264,0.4119865298271179
Model1,0.0,29,1.08060525133808,56.75057208237986,0.422491192817688
Model1,0.0,30,1.0782529421656484,56.14035087719298,0.41377177834510803
Model1,0.0,31,1.0727030467568783,56.52173913043478,0.41907820105552673
Model1,0.0,32,1.0709130442569859,56.14035087719298,0.41422683000564575
Model1,0.0,33,1.0670956278647474,56.75057208237986,0.42234981060028076
Model1,0.0,34,1.0687772771222823,56.826849733028226,0.423861563205719
Model1,0.0,35,1.0693808152964785,56.36918382913806,0.4171404242515564
Model1,0.0,36,1.0613666444584944,57.055682684973306,0.42667487263679504
Model1,0.0,37,1.06130676184057,56.36918382913806,0.417217880487442
Model1,0.0,38,1.0595334956065832,56.36918382913806,0.4169052243232727
Model1,0.0,39,1.0563180527097846,56.90312738367658,0.4242827296257019
Model1,0.0,40,1.0517721506678177,56.2929061784897,0.4164031445980072
Model1,0.0,41,1.051317502441159,56.674294431731504,0.4212743937969208
Model1,0.0,42,1.0507696099994202,56.674294431731504,0.42104625701904297
Model1,0.0,43,1.0458484396145236,56.90312738367658,0.42460203170776367
Model1,0.0,44,1.0561242480936348,56.826849733028226,0.42369380593299866
Model1,0.0,45,1.044696087058858,57.284515636918385,0.43011239171028137
Model1,0.0,46,1.0403376082079179,57.055682684973306,0.42660272121429443
Model1,0.0,47,1.0417165131990824,56.97940503432494,0.425139456987381
Model1,0.0,48,1.044947684356768,57.20823798627002,0.42798912525177
Model1,0.0,49,1.037538262608395,56.97940503432494,0.42541688680648804
Model1,0.0,50,1.0392337295047023,57.13196033562166,0.4282115697860718
Model1,50.0,1,1.3653897498055871,47.9023646071701,0.30590078234672546
Model1,50.0,2,1.3199649535454838,51.18230358504958,0.33142414689064026
Model1,50.0,3,1.2732379404667404,48.51258581235698,0.2957923114299774
