model,lambda,epoch,loss,accuracy,kappa
Model2,-100.0,1,0.49404357068049604,72.91666666666667,0.3455953896045685
Model2,-100.0,2,0.41487969037814015,83.81410256410257,0.6555839776992798
Model2,-100.0,3,0.5394324186520699,74.51923076923077,0.37585872411727905
Model2,-100.0,4,0.6665833506446618,66.66666666666667,0.13871636986732483
Model2,-100.0,5,0.3457265473329104,86.37820512820512,0.7091531157493591
Model2,-100.0,6,0.35715470634973967,85.41666666666667,0.6747096180915833
Model2,-100.0,7,0.39194212739284223,84.13461538461539,0.6435643434524536
Model2,-100.0,8,0.4039509414862364,83.65384615384616,0.63765549659729
Model2,-100.0,9,0.405441294495876,82.6923076923077,0.6236933469772339
Model2,-100.0,10,0.4243850222764871,81.57051282051282,0.5799086689949036
Model2,-100.0,11,0.37214342065346545,85.41666666666667,0.6859362125396729
Model2,-100.0,12,0.40100403321095,84.2948717948718,0.6512455940246582
Model2,-100.0,13,0.40853109802955234,84.13461538461539,0.6461125612258911
Model2,-100.0,14,0.41174171750362104,83.33333333333333,0.630550742149353
Model2,-100.0,15,0.4422119469978871,80.44871794871794,0.555555522441864
Model2,-100.0,16,0.43121550022027433,81.25,0.577235758304596
Model2,-100.0,17,0.43123415532784587,81.57051282051282,0.5852118730545044
Model2,-100.0,18,0.4210499689365045,81.89102564102564,0.5938903093338013
Model2,-100.0,19,0.4172777682542801,82.53205128205128,0.6103664636611938
Model2,-100.0,20,0.41799322190957194,82.53205128205128,0.6068530678749084
Model2,-100.0,21,0.4277544720814778,81.73076923076923,0.5869565606117249
Model2,-100.0,22,0.4145543972651164,82.6923076923077,0.6142857074737549
Model2,-100.0,23,0.4372173498074214,80.76923076923077,0.5612430572509766
Model2,-100.0,24,0.4370516137434886,81.08974358974359,0.5685558319091797
Model2,-100.0,25,0.4280891082225702,81.41025641025641,0.5789474248886108
Model2,-100.0,26,0.43567163325273073,81.08974358974359,0.5685558319091797
Model2,-100.0,27,0.423728951276877,81.89102564102564,0.5916891694068909
Model2,-100.0,28,0.43685152438970715,80.76923076923077,0.5604395270347595
Model2,-100.0,29,0.4162742189871959,82.05128205128206,0.597122311592102
Model2,-100.0,30,0.41593484771557343,82.6923076923077,0.613595724105835
Model2,-100.0,31,0.41576965420674056,82.8525641025641,0.6154537796974182
Model2,-100.0,32,0.42388614782920253,81.73076923076923,0.5869565606117249
Model2,-100.0,33,0.4078140495679317,83.49358974358974,0.6350753307342529
Model2,-100.0,34,0.4331408013135959,80.60897435897436,0.5579909086227417
Model2,-100.0,35,0.4110004168290358,83.65384615384616,0.63765549659729
Model2,-100.0,36,0.40633631440309376,83.81410256410257,0.6421611905097961
Model2,-100.0,37,0.4091584441753534,83.49358974358974,0.6337777972221375
Model2,-100.0,38,0.4017155185723916,84.2948717948718,0.654321014881134
Model2,-100.0,39,0.4283073154779581,81.73076923076923,0.5869565606117249
Model2,-100.0,40,0.42151503341320234,82.21153846153847,0.5989160537719727
Model2,-100.0,41,0.43639848209344423,80.60897435897436,0.5571821331977844
Model2,-100.0,42,0.44046296141086483,80.60897435897436,0.5563703179359436
Model2,-100.0,43,0.42563381026952696,81.89102564102564,0.5916891694068909
Model2,-100.0,44,0.4118795196215312,83.33333333333333,0.630550742149353
Model2,-100.0,45,0.42130936682224274,82.05128205128206,0.5956678986549377
Model2,-100.0,46,0.41422006717095006,83.33333333333333,0.6298933029174805
Model2,-100.0,47,0.4088784777201139,83.49358974358974,0.6344277262687683
Model2,-100.0,48,0.4384295409306502,80.76923076923077,0.5604395270347595
Model2,-100.0,49,0.44454061564726705,80.12820512820512,0.5441176891326904
Model2,-100.0,50,0.44243890658403057,79.96794871794872,0.5400184988975525
Model2,0.0,1,0.493756074935962,73.07692307692308,0.3513513207435608
Model2,0.0,2,0.42524331731674,81.25,0.5817694067955017
Model2,0.0,3,0.690913606626101,65.86538461538461,0.11526491492986679
Model2,0.0,4,0.9845212741444508,62.66025641025641,0.005336305126547813
Model2,0.0,5,0.33769395794623935,85.8974358974359,0.6895944476127625
Model2,0.0,6,0.35751579931149113,85.09615384615384,0.6907731294631958
Model2,0.0,7,0.5865026240547498,74.67948717948718,0.37672585248947144
Model2,0.0,8,0.6117378438416964,73.71794871794872,0.34920641779899597
Model2,0.0,9,0.29592458025003093,88.62179487179488,0.756223201751709
Model2,0.0,10,0.3161607422889807,88.46153846153847,0.747810959815979
Model2,0.0,11,0.46134535156381434,81.89102564102564,0.5755868554115295
Model2,0.0,12,0.6797804333962117,75.80128205128206,0.40842318534851074
